stim_id,gameID,condition,trialNum,rt,startTime,time_elapsed,steps,level_id,collection_id,layout,width,height,boxes,start_position.x,start_position.y,attempt_nsteps,attempt_nInputEvents
6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,2,29351,103209.19999999925,126983,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,10
6790956f96019241f9c4f67f,8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,1,17217,70932.0,82994,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f675,0808-1234c64f-ccf4-46a1-bc6f-6827478f2d8e,difficult,2,31056,85347.29999995232,111212,"['l', 'u', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,11
6790956f96019241f9c4f674,6186-32e70ee4-7ac6-4d03-856c-c7e9ef8aba13,difficult,1,14026,124498.30000007153,122340,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f676,0209-82f8d7b1-7d8c-421b-becd-e2fc43eb28b8,difficult,2,16434,98998.19999998808,112418,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,10
6790956f96019241f9c4f67f,8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,2,18625,88458.0,101926,"['l', 'u', 'l', 'D', 'l', 'u', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,14,16
6790956f96019241f9c4f674,6186-32e70ee4-7ac6-4d03-856c-c7e9ef8aba13,difficult,2,13844,138827.10000002384,136486,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,10
6790956f96019241f9c4f663,4221-f8153973-98d6-43e5-9908-2a60cadfb458,difficult,1,27728,172493.89999997616,197890,"['u', 'r', 'R', 'l', 'd', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,6,6
6790956f96019241f9c4f67f,8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,3,11530,107388.0,113761,"['u', 'r', 'r', 'U', 'U', 'r', 'r', 'd', 'L', 'r', 'u', 'l', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,19,19
6790956f96019241f9c4f671,3398-8fd61e31-c1ca-4273-94c4-fcce5e1b8ca2,difficult,1,8994,156585.09999990463,162720,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,3,38586,132869.19999999925,165875,"['r', 'r', 'u', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,17
