gameID,condition,study_phase,stimuli_set,puzzle_id,elo,mElo,sdElo,eloMin,eloMax,mElo_rank
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Sokogen 41,101,99.612,4.576723981452498,93,107,8
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Sokogen 46,93,86.307,4.819749057884753,78,93,7
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Dimitri 37,86,85.854,4.851620576902351,78,93,6
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Microba 33,-79,-85.924,4.805342372330567,-93,-78,3
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Microba 41,-7,-0.034,5.990219255313333,-13,13,4
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Microba 48,93,93.016,4.680133293790631,86,100,8
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Sokogen 17,-100,-93.033,4.6203093249541585,-100,-86,2
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Sokogen 19,93,92.927,4.680125487054217,86,100,7
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Sokogen 39,-86,-93.056,4.6731897781603795,-100,-86,1
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,pretest,B,Sokogen 6,0,0.25,5.900535256764111,-13,13,5
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Microba 104,-93,-92.817,5.061929882380251,-101,-85,2
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Microba 67,100,93.117,5.136116304241032,85,101,8
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 13,5,-0.061,5.96782153669949,-13,13,5
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 18,14,-0.163,10.213067009362943,-14,14,4
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 32,-14,-6.502,8.771255949459627,-21,7,3
